SYMBOL,AVG,
HERCULES,12.566632,
HERITGFOOD,5.019998,
HEROMOTOCO,17.766668,
HESTERBIO,17.06665,
HEXATRADEX,24.066666,
HEXAWARE,24.900015,
HFCL,0.57000035,
HGINFRA,8.23334,
HGS,35.916683,
HHOF1140RG,5.68667,
HIKAL,7.450007,
HIL,14.416664,
HILTON,6.100002,
HIMATSEIDE,14.316665,
HINDALCO,1.5166627,
HINDCOMPOS,6.2500024,
HINDCOPPER,2.9166667,
HINDMOTORS,6.3166623,
HINDNATGLS,0.9833336,
HINDOILEXP,16.683317,
HINDPETRO,3.333332,
HINDSYNTEX,4.3500037,
HINDUNILVR,12.133334,
HINDZINC,4.25,
HIRECT,16.35002,
HISARMETAL,6.3333306,
HITECH,9.066666,
HITECHCORP,6.25,
HITECHGEAR,3.5333354,
HLVLTD,16.333338,
HMT,14.966667,
HMVL,170.76666,
HNDFDS,20.449991,
HNGSNGBEES,8.306663,
HONAUT,132.71693,
HONDAPOWER,25.149994,
HOVS,108.11654,
HPIL,15.750016,
HPL,1.2333342,
HSCL,0.98333293,
HSIL,1.7999992,
HTMEDIA,3.9499924,
HUBTOWN,0.9000006,
HUDCO,1.5133295,
HUDCO,13.216667,
HUDCO,6.813338,
HUDCO,7.403353,
HUDCO,3.616666,
HUDCO,0.0,
HUDCO,7.693319,
HUDCO,17.246664,
IBMFNIFTY,12.649983,
IBREALEST,27.516647,
IBUCCREDIT,2.0,
IBUCCREDIT,6.483332,
IBUCCREDIT,2.5166626,
IBULHSGFIN,5.7166595,
IBULHSGFIN,51.350006,
IBULHSGFIN,10.0,
IBULHSGFIN,6.25,
IBULISL,12.050008,
IBVENTURES,1.0333328,
IBVENTURES,12.916667,
ICFL,2.2500076,
ICFL,8.706668,
ICFL,2.8199985,
ICFL,27.783325,
ICFL,8.966675,
ICFL,5.4333344,
ICFL,16.333334,
ICFL,0.74666214,
ICICI500,1.7166647,
ICICIB22,1.9699999,
ICICIBANK,7.2899957,
ICICIBANKN,3.2399929,
ICICIBANKP,1.6033376,
ICICIGI,20.300009,
ICICIGOLD,2.1666667,
ICICILIQ,0.17332523,
ICICILOVOL,8.529991,
ICICIM150,8.036667,
ICICIMCAP,1.3166695,
ICICINF100,15.673299,
ICICINIFTY,4.209999,
ICICINV20,6.9199996,
ICICINXT50,0.99333364,
ICICIPRULI,9.816655,
ICICISENSX,3.0066593,
ICIL,17.183268,
ICRA,110.46664,
IDBI,0.6365865,
IDBIGOLD,26.733316,
IDEA,3.7166665,
IDFC,1.2833328,
IDFCFIRSTB,4.683333,
IDFCFIRSTB,12.346776,
IDFCFIRSTB,49.24655,
IDFCFIRSTB,5.5166626,
IDFCFIRSTB,78.75,
IDFCFIRSTB,23.04349,
IDFNIFTYET,17.633333,
IEX,5.6333313,
IFBAGRO,22.18337,
IFBIND,20.566666,
IFCI,30.396746,
IFCI,5.9166565,
IFCI,5.580012,
IFCI,5.850006,
IFGLEXPOR,13.916672,
IGARASHI,6.3333354,
IGL,31.16333,
IGPL,4.5,
IIFCL,6.8833365,
IIFL,11.75,
IIFLFIN,5.899994,
IIFLFIN,5.816662,
IIFLFIN,18.833334,
IIFLFIN,2.3333333,
IIFLFIN,13.533333,
IIFLFIN,4.8333416,
IIFLFIN,0.033333343,
IIFLFIN,13.949997,
IIFLFIN,2.6833293,
IIFLSEC,1.3333336,
IIFLWAM,9.283349,
IIHFL,3.6499965,
IIHFL,24.699984,
IITL,5.6666627,
IL&FSENGG,24.366667,
IL&FSTRANS,1.5833343,
IMFA,7.5000033,
IMPAL,18.566666,
IMPEXFERRO,23.049994,
INDBANK,0.44666538,
INDHOTEL,1.8166686,
INDIACEM,7.283338,
INDIAGLYCO,10.133334,
INDIAMART,17.149988,
INDIANB,22.96663,
INDIANCARD,6.4166718,
INDIANHUME,6.6166687,
INDIGO,20.366646,
INDIGRID,17.609983,
INDLMETER,0.48333487,
INDNIPPON,4.799998,
INDOCO,13.766666,
INDORAMA,3.416666,
INDOSOLAR,9.916666,
INDOSTAR,11.783329,
INDOTECH,6.049999,
INDOTHAI,3.1000004,
INDOWIND,2.1366637,
INDRAMEDCO,5.283335,
